name,abbrv,color,affiliation,coauthored
Sicun Gao,S. Gao,#32CD32,University of California - San Diego,1
Roopsha Samanta,R. Samanta,#ffff00,Purdue University,1
Pavol Cerný,P. Cerný,#ffff00,University of Colorado Boulder,1
Orna Grumberg,O. Grumberg,#ffff00,Technion,1
Yifan Zhang,Y. Zhang,#ffc0cb,none,1
Chiu Tan,C. Tan,#ffc0cb,none,1
Qun Li,Q. Li,#00bfff,College of William and Mary,1
Mohammed Bennamoun,M. Bennamoun,#32CD32,University of Western Australia,1
Fatih Porikli,F. Porikli,#32CD32,Australian National University,1
Sean Holden,S. Holden,#32CD32,University of Cambridge,0
Rose Yu,R. Yu,#32CD32,Northeastern University,1
Cyrus Shahabi,C. Shahabi,#00bfff,University of Southern California,1
Zhoujun Li,Z. Li,#32CD32,Beihang University,1
Min-Yen Kan,M. Kan,#32CD32,National University of Singapore,1
Xia Hu,X. Hu,#32CD32,Texas A&M University,1
Xiaoming Zhang,X. Zhang,#32CD32,Beihang University,1
Xuhua Ding,X. Ding,#00bfff,Singapore Management University,1
Gene Tsudik,G. Tsudik,#00bfff,University of California - Irvine,1
Hao Zheng,H. Zheng,#32CD32,University of South Florida,1
Dan Grossman,D. Grossman,#00bfff,University of Washington,1
Adrian Sampson,A. Sampson,#00bfff,Cornell University,1
Werner Dietl,W. Dietl,#00bfff,University of Waterloo,1
Miryung Kim,M. Kim,#00bfff,University of California - Los Angeles,1
Joseph Devietti,J. Devietti,#00bfff,University of Pennsylvania,1
Emina Torlak,E. Torlak,#00bfff,University of Washington,1
Brandon Lucia,B. Lucia,#00bfff,Carnegie Mellon University,1
Michael Bond,M. Bond,#00bfff,none,1
Magdalena Balazinska,M. Balazinska,#00bfff,University of Washington,1
Richard Cleve,R. Cleve,#ffff00,University of Waterloo,1
Harry Buhrman,H. Buhrman,#ffff00,CWI,1
Deian Stefan,D. Stefan,#00bfff,University of California - San Diego,1
Brad Karp,B. Karp,#00bfff,University College London,1
Dawson Engler,D. Engler,#00bfff,none,1
Mohamed Hefeeda,M. Hefeeda,#ffc0cb,Simon Fraser University,1
Hans-Peter Seidel,H. Seidel,#ffc0cb,Max Planck Institute,1
Karol Myszkowski,K. Myszkowski,#ffc0cb,Max Planck Institute,1
Wojciech Matusik,W. Matusik,#ffc0cb,Massachusetts Institute of Technology,1
Frédo Durand,F. Durand,#ffc0cb,Massachusetts Institute of Technology,1
William Freeman,W. Freeman,#32CD32,none,1
Ping Tan,P. Tan,#32CD32,Simon Fraser University,1
Mingli Song,M. Song,#32CD32,Zhejiang University,1
Yezhou Yang,Y. Yang,#32CD32,Arizona State University,1
Jianke Zhu,J. Zhu,#32CD32,Zhejiang University,1
Wei Dong,W. Dong,#00bfff,none,1
Bing Liu,B. Liu,#32CD32,none,1
Jian Pei,J. Pei,#32CD32,Simon Fraser University,1
Max Van Kleek,M. Van Kleek,#ffc0cb,University of Oxford,1
Rob Miller,R. Miller,#ffc0cb,none,1
Chinmay Kulkarni,C. Kulkarni,#32CD32,Carnegie Mellon University,1
Scott Klemmer,S. Klemmer,#ffc0cb,none,1
Aniket Kittur,A. Kittur,#ffc0cb,Carnegie Mellon University,1
John Zimmerman,J. Zimmerman,#ffc0cb,Carnegie Mellon University,1
Walter Lasecki,W. Lasecki,#ffc0cb,none,1
Jeffrey Bigham,J. Bigham,#ffc0cb,none,1
Juho Kim,J. Kim,#ffc0cb,KAIST,1
Mark Ackerman,M. Ackerman,#ffc0cb,none,1
Cristian Danescu-Niculescu-Mizil,C. Danescu-Niculescu-Mizil,#32CD32,Cornell University,1
Jure Leskovec,J. Leskovec,#32CD32,Stanford University,1
Cewu Lu,C. Lu,#32CD32,Shanghai Jiao Tong University,1
Justin Johnson,J. Johnson,#32CD32,University of Michigan,1
James Davis,J. Davis,#32CD32,University of California - Santa Cruz,1
Anna Karlin,A. Karlin,#ffff00,none,1
Kevin Leyton-Brown,K. Leyton-Brown,#32CD32,University of British Columbia,1
Claire Mathieu,C. Mathieu,#ffff00,Ecole Normale Superieure,1
Chintan Patel,C. Patel,#d3d3d3,Univ. of Maryland - Baltimore County,1
James Parkerson,J. Parkerson,#00bfff,none,1
Ryan Robucci,R. Robucci,#d3d3d3,Univ. of Maryland - Baltimore County,1
Harry Mairson,H. Mairson,#d3d3d3,none,1
David Van Horn,D. Van Horn,#00bfff,University of Maryland - College Park,1
Douglas Oard,D. Oard,#32CD32,none,1
Philip Resnik,P. Resnik,#32CD32,University of Maryland - College Park,1
Diana Inkpen,D. Inkpen,#32CD32,University of Ottawa,1
Gita Sukthankar,G. Sukthankar,#32CD32,University of Central Florida,1
Xi Wang,X. Wang,#00bfff,University of Washington,1
Changhe Yuan,C. Yuan,#32CD32,CUNY,0
Brian Ziebart,B. Ziebart,#32CD32,none,1
J. Bagnell,J. Bagnell,#ffc0cb,none,1
Byron Boots,B. Boots,#32CD32,Georgia Institute of Technology,1
Lev Reyzin,L. Reyzin,#32CD32,University of Illinois at Chicago,1
Tanya Berger-Wolf,T. Berger-Wolf,#32CD32,none,1
Gregor Leander,G. Leander,#ffff00,Ruhr-University Bochum,1
Christof Paar,C. Paar,#ffff00,Ruhr-University Bochum,1
Shaojie Zhang,S. Zhang,#ffc0cb,University of Central Florida,1
Roded Sharan,R. Sharan,#ffc0cb,Tel Aviv University,1
Vineet Bafna,V. Bafna,#ffc0cb,University of California - San Diego,1
Maurice Fallon,M. Fallon,#ffc0cb,none,1
Seth Teller,S. Teller,#ffc0cb,none,1
Ana Bazzan,A. Bazzan,#32CD32,none,1
Paulo Engel,P. Engel,#ffc0cb,none,1
Chunyan Miao,C. Miao,#32CD32,Nanyang Technological University,1
Jörg Schwenk,J. Schwenk,#00bfff,Ruhr-University Bochum,1
Victor Zue,V. Zue,#32CD32,Massachusetts Institute of Technology,0
Kwang-Ting Cheng,K. Cheng,#00bfff,HKUST,1
Luca Benini,L. Benini,#00bfff,ETH Zurich,1
Tandy Warnow,T. Warnow,#ffc0cb,none,1
Mihai Pop,M. Pop,#ffc0cb,University of Maryland - College Park,1
Luay Nakhleh,L. Nakhleh,#ffc0cb,Rice University,1
Kevin Liu,K. Liu,#ffc0cb,Michigan State University,1
Li-San Wang,L. Wang,#ffc0cb,University of Pennsylvania,1
Peyman Afshani,P. Afshani,#ffff00,Aarhus University,1
Norbert Zeh,N. Zeh,#ffff00,Dalhousie University,1
Gerth Brodal,G. Brodal,#ffff00,none,1
Martin Farach-Colton,M. Farach-Colton,#00bfff,Rutgers University,1
Jeremy Fineman,J. Fineman,#ffff00,none,1
Kasper Larsen,K. Larsen,#ffff00,none,1
Jérémy Barbay,J. Barbay,#ffff00,Universidad de Chile,1
Lars Arge,L. Arge,#ffff00,Aarhus University,1
Timothy Chan,T. Chan,#ffff00,none,1
Gerald Penn,G. Penn,#32CD32,University of Toronto,1
Jackie Cheung,J. Cheung,#32CD32,none,1
Xiao-Dan Zhu,X. Zhu,#32CD32,Queen’s University,1
Cosmin Munteanu,C. Munteanu,#ffc0cb,University of Toronto,1
Ronald Baecker,R. Baecker,#ffc0cb,University of Toronto,1
Chiranjib Bhattacharyya,C. Bhattacharyya,#32CD32,IISc Bangalore,1
Sourangshu Bhattacharya,S. Bhattacharya,#32CD32,IIT Kharagpur,1
Soumen Chakrabarti,S. Chakrabarti,#32CD32,IIT Bombay,1
Kanchi Gopinath,K. Gopinath,#00bfff,IISc Bangalore,1
Francis Bach,F. Bach,#32CD32,none,1
J. Nath,J. Nath,#32CD32,none,1
M. Murty,M. Murty,#32CD32,none,1
Andrew Campbell,A. Campbell,#00bfff,none,1
Xia Zhou,X. Zhou,#00bfff,Dartmouth College,1
Nicholas Lane,N. Lane,#00bfff,none,1
Lorenzo Torresani,L. Torresani,#32CD32,Dartmouth College,1
Tanzeem Choudhury,T. Choudhury,#ffc0cb,Cornell University,1
Cecilia Mascolo,C. Mascolo,#00bfff,University of Cambridge,1
Qiang Fu,Q. Fu,#00bfff,Victoria University of Wellington,1
Michael Lyu,M. Lyu,#32CD32,none,1
Pramod Bhatotia,P. Bhatotia,#00bfff,University of Edinburgh,1
Christof Fetzer,C. Fetzer,#00bfff,TU Dresden,1
Rodrigo Rodrigues,R. Rodrigues,#00bfff,Universidade de Lisboa,1
Thorsten Strufe,T. Strufe,#32CD32,TU Dresden,1
Umut Acar,U. Acar,#00bfff,none,1
Björn Brandenburg,B. Brandenburg,#00bfff,none,1
Anna Zych,A. Zych,#ffff00,University of Warsaw,1
Piotr Sankowski,P. Sankowski,#ffff00,University of Warsaw,1
Marcin Pilipczuk,M. Pilipczuk,#ffff00,University of Warsaw,1
Jun-yong Noh,J. Noh,#ffc0cb,KAIST,1
John Lewis,J. Lewis,#ffc0cb,none,1
Frédéric Desprez,F. Desprez,#d3d3d3,Ecole Normale Superieure de Lyon,1
Eddy Caron,E. Caron,#d3d3d3,Ecole Normale Superieure de Lyon,1
Antonio Carzaniga,A. Carzaniga,#00bfff,Università della Svizzera italiana,1
Mauro Pezzè,M. Pezzè,#00bfff,Università della Svizzera italiana,1
Alessandra Gorla,A. Gorla,#00bfff,IMDEA Software Institute,1
Alexander Wolf,A. Wolf,#00bfff,none,1
Alessandro Margara,A. Margara,#00bfff,Politecnico di Milano,1
Weifeng Lv,W. Lv,#32CD32,Beihang University,1
Guangyu Sun,G. Sun,#00bfff,Peking University,1
Lei Chen,L. Chen,#00bfff,none,1
Yongxin Tong,Y. Tong,#00bfff,Beihang University,1
Liam Paull,L. Paull,#ffc0cb,University of Montreal,1
Justine Cassell,J. Cassell,#32CD32,Carnegie Mellon University,1
Amy Ogan,A. Ogan,#ffc0cb,Carnegie Mellon University,1
Bryan Ford,B. Ford,#00bfff,EPFL,1
Mark Silberstein,M. Silberstein,#00bfff,Technion,1
Emmett Witchel,E. Witchel,#00bfff,University of Texas at Austin,1
Robert Morris,R. Morris,#00bfff,none,1
M. Kaashoek,M. Kaashoek,#00bfff,none,1
Srinivas Devadas,S. Devadas,#00bfff,Massachusetts Institute of Technology,1
Lakshminarayanan Subramanian,L. Subramanian,#00bfff,New York University,1
Justin Cappos,J. Cappos,#00bfff,New York University,1
Michael Fischer,M. Fischer,#00bfff,none,1
Rich Gazan,R. Gazan,#ffc0cb,University of Hawaii at Manoa,1
Susanne Still,S. Still,#d3d3d3,University of Hawaii at Manoa,1
Pierre Boulanger,P. Boulanger,#ffc0cb,University of Alberta,1
Martin Erwig,M. Erwig,#00bfff,Oregon State University,1
Eric Walkingshaw,E. Walkingshaw,#d3d3d3,Oregon State University,1
Barbara Poblete,B. Poblete,#32CD32,Universidad de Chile,0
Adam Belay,A. Belay,#00bfff,Massachusetts Institute of Technology,1
Ali Mashtizadeh,A. Mashtizadeh,#00bfff,none,1
Suman Jana,S. Jana,#00bfff,Columbia University,1
Frank Wang,F. Wang,#00bfff,University of Kent,1
Periklis Papakonstantinou,P. Papakonstantinou,#ffff00,none,1
Rafail Ostrovsky,R. Ostrovsky,#ffff00,University of California - Los Angeles,1
Vinod Vaikuntanathan,V. Vaikuntanathan,#ffff00,Massachusetts Institute of Technology,1
Gil Segev,G. Segev,#ffff00,Hebrew University of Jerusalem,1
Sergey Gorbunov,S. Gorbunov,#ffff00,University of Waterloo,1
Eyal Kushilevitz,E. Kushilevitz,#ffff00,Technion,1
William Skeith,W. Skeith,#ffff00,none,1
Nick McKeown,N. McKeown,#00bfff,Stanford University,1
Mark Handley,M. Handley,#00bfff,University College London,1
Arvind Narayanan,A. Narayanan,#00bfff,Princeton University,1
Helen Nissenbaum,H. Nissenbaum,#ffc0cb,New York University,1
Yuval Ishai,Y. Ishai,#ffff00,Technion,1
David Wu,D. Wu,#ffff00,none,1
Suman Banerjee,S. Banerjee,#00bfff,University of Wisconsin - Madison,1
Tamer Nadeem,T. Nadeem,#00bfff,Virginia Commonwealth University,1
Srikanth Krishnamurthy,S. Krishnamurthy,#00bfff,none,1
Marco Gruteser,M. Gruteser,#00bfff,Rutgers University,1
Remzi Arpaci-Dusseau,R. Arpaci-Dusseau,#00bfff,none,1
Andrea Arpaci-Dusseau,A. Arpaci-Dusseau,#00bfff,none,1
Srinivasan Keshav,S. Keshav,#00bfff,University of Waterloo,1
Luca Mottola,L. Mottola,#00bfff,Politecnico di Milano,1
Luciano Baresi,L. Baresi,#00bfff,Politecnico di Milano,1
Lothar Thiele,L. Thiele,#00bfff,ETH Zurich,1
Kai Engelhardt,K. Engelhardt,#00bfff,UNSW,1
Ron van der Meyden,R. van der Meyden,#32CD32,UNSW,1
Antony Hosking,A. Hosking,#00bfff,Australian National University,1
Kevin Elphinstone,K. Elphinstone,#00bfff,UNSW,1
Steven LaValle,S. LaValle,#ffc0cb,none,1
Dinesh Manocha,D. Manocha,#ffc0cb,University of Maryland - College Park,1
Jingjin Yu,J. Yu,#ffc0cb,Rutgers University,1
Jason O'Kane,J. O'Kane,#ffc0cb,none,1
Matthew Mason,M. Mason,#ffc0cb,none,1
Devin Balkcom,D. Balkcom,#ffc0cb,none,1
Hamid Chitsaz,H. Chitsaz,#ffc0cb,none,1
Leonardo Bobadilla,L. Bobadilla,#ffc0cb,Florida International University,1
Pierre Baldi,P. Baldi,#ffc0cb,University of California - Irvine,1
Jacob Crandall,J. Crandall,#32CD32,none,1
Andreas Zeller,A. Zeller,#00bfff,CISPA Helmholtz Center i.G.,1
Sunghun Kim,S. Kim,#00bfff,none,1
Alessandro Orso,A. Orso,#00bfff,Georgia Institute of Technology,1
Gordon Fraser,G. Fraser,#00bfff,University of Passau,1
Marcel Böhme,M. Böhme,#00bfff,Monash University,1
Carlo Furia,C. Furia,#00bfff,none,1
Sudipta Chattopadhyay,S. Chattopadhyay,#00bfff,none,1
Cho-Jui Hsieh,C. Hsieh,#32CD32,University of California - Davis,1
S. Vishwanathan,S. Vishwanathan,#32CD32,none,1
Arindam Banerjee,A. Banerjee,#32CD32,University of Minnesota,1
Kai-Wei Chang,K. Chang,#32CD32,University of California - Los Angeles,1
Chih-Jen Lin,C. Lin,#32CD32,National Taiwan University,1
Ce Zhang,C. Zhang,#00bfff,ETH Zurich,1
Siew Lam,S. Lam,#d3d3d3,none,1
Thambipillai Srikanthan,T. Srikanthan,#d3d3d3,Nanyang Technological University,1
Naphtali Rishe,N. Rishe,#d3d3d3,Florida International University,1
Takeshi Naemura,T. Naemura,#32CD32,University of Tokyo,0
Jaroslaw Byrka,J. Byrka,#ffff00,University of Wroclaw,1
Thomas Rothvoß,T. Rothvoß,#ffff00,University of Washington,1
Marek Chrobak,M. Chrobak,#ffff00,University of California - Riverside,1
Marcin Bienkowski,M. Bienkowski,#ffff00,University of Wroclaw,1
Lukasz Jez,L. Jez,#ffff00,University of Wroclaw,1
Aravind Srinivasan,A. Srinivasan,#ffff00,University of Maryland - College Park,1
Martín Ochoa,M. Ochoa,#ffff00,SUTD,1
Michael Backes,M. Backes,#00bfff,none,1
Walid Najjar,W. Najjar,#00bfff,none,1
Vassilis Tsotras,V. Tsotras,#00bfff,none,1
Frank Vahid,F. Vahid,#00bfff,University of California - Riverside,1
Tina Eliassi-Rad,T. Eliassi-Rad,#32CD32,Northeastern University,1
B. Prakash,B. Prakash,#32CD32,none,1
Danai Koutra,D. Koutra,#32CD32,University of Michigan,1
Felipe Meneguzzi,F. Meneguzzi,#32CD32,PUC-RS,1
Munindar Singh,M. Singh,#32CD32,none,1
Bakhadyr Khoussainov,B. Khoussainov,#ffff00,University of Auckland,1
Cristian Calude,C. Calude,#ffff00,University of Auckland,1
Sanjay Jain,S. Jain,#ffff00,none,1
André Nies,A. Nies,#ffff00,University of Auckland,1
Cynthia Marling,C. Marling,#d3d3d3,none,0
Chris Harrison,C. Harrison,#ffc0cb,Carnegie Mellon University,1
James McCann,J. McCann,#ffc0cb,Carnegie Mellon University,1
Scott Hudson,S. Hudson,#ffc0cb,none,1
Ambedkar Dukkipati,A. Dukkipati,#32CD32,IISc Bangalore,0
Roberto Tagliaferri,R. Tagliaferri,#ffc0cb,University of Salerno,0
Ueli Maurer,U. Maurer,#ffff00,ETH Zurich,1
Markulf Kohlweiss,M. Kohlweiss,#00bfff,University of Edinburgh,1
Vassilis Zikas,V. Zikas,#ffff00,University of Edinburgh,1
Divesh Aggarwal,D. Aggarwal,#ffff00,National University of Singapore,1
Julian Gough,J. Gough,#ffc0cb,University of Bristol,0
Xianghong Zhou,X. Zhou,#ffc0cb,none,1
Haiyan Hu,H. Hu,#ffc0cb,University of Central Florida,1
Michael Waterman,M. Waterman,#ffc0cb,none,1
Michael Kazhdan,M. Kazhdan,#ffc0cb,Johns Hopkins University,1
Russell Taylor,R. Taylor,#ffc0cb,none,1
Daniele Panozzo,D. Panozzo,#ffc0cb,New York University,1
Stefan Gumhold,S. Gumhold,#32CD32,TU Dresden,1
Wenzel Jakob,W. Jakob,#ffc0cb,EPFL,1
Armando Fox,A. Fox,#00bfff,University of California - Berkeley,1
Marti Hearst,M. Hearst,#ffc0cb,none,1
John Gilbert,J. Gilbert,#d3d3d3,none,1
Shrideep Pallickara,S. Pallickara,#d3d3d3,Colorado State University,1
Geoffrey Fox,G. Fox,#00bfff,none,1
Peter Braß,P. Braß,#ffc0cb,CUNY,1
Jizhong Xiao,J. Xiao,#ffc0cb,CUNY,1
Yue-Zhi Zhou,Y. Zhou,#32CD32,Tsinghua University,1
Jie Wu,J. Wu,#ffc0cb,none,1
Yi Pan,Y. Pan,#ffc0cb,none,1
Yaoxue Zhang,Y. Zhang,#32CD32,Tsinghua University,1
Dmitri Loguinov,D. Loguinov,#00bfff,Texas A&M University,0
Frédéric Suter,F. Suter,#d3d3d3,Ecole Normale Superieure de Lyon,1
Henri Casanova,H. Casanova,#00bfff,University of Hawaii at Manoa,1
Sushil Louis,S. Louis,#ffc0cb,none,1
Kostas Bekris,K. Bekris,#ffc0cb,none,1
Hongdong Li,H. Li,#32CD32,Australian National University,1
Richard Hartley,R. Hartley,#32CD32,none,1
Yuchao Dai,Y. Dai,#32CD32,Australian National University,1
Jonghyuk Kim,J. Kim,#ffc0cb,Australian National University,1
Laurent Kneip,L. Kneip,#ffc0cb,Australian National University,1
Changbin Yu,C. Yu,#ffc0cb,Australian National University,1
Dimitris Papadopoulos,D. Papadopoulos,#00bfff,HKUST,1
Vana Kalogeraki,V. Kalogeraki,#00bfff,AUEB,1
Tony Givargis,T. Givargis,#00bfff,University of California - Irvine,1
Eran Yahav,E. Yahav,#00bfff,Technion,1
Benny Kimelfeld,B. Kimelfeld,#00bfff,Technion,1
Sharon Shoham,S. Shoham,#ffff00,Tel Aviv University,1
Noam Rinetzky,N. Rinetzky,#ffff00,Tel Aviv University,1
Shmuel Sagiv,S. Sagiv,#ffff00,Tel Aviv University,1
Thomas Reps,T. Reps,#ffff00,none,1
Samuel Guyer,S. Guyer,#00bfff,none,1
Oskar von Stryk,O. von Stryk,#ffc0cb,TU Darmstadt,1
Tajana Simunic,T. Simunic,#00bfff,University of California - San Diego,1
Dean Tullsen,D. Tullsen,#00bfff,none,1
Houman Homayoun,H. Homayoun,#00bfff,George Mason University,1
George Porter,G. Porter,#00bfff,University of California - San Diego,1
Jan Rabaey,J. Rabaey,#00bfff,none,1
Alex Biryukov,A. Biryukov,#ffff00,University of Luxembourg,0
Asaf Levin,A. Levin,#ffff00,Technion,1
Amotz Bar-Noy,A. Bar-Noy,#00bfff,CUNY,1
Guo Freeman,G. Freeman,#ffc0cb,Clemson University,1
Jeffrey Bardzell,J. Bardzell,#ffc0cb,Indiana University,1
Shaowen Bardzell,S. Bardzell,#ffc0cb,Indiana University,1
Joel Tropp,J. Tropp,#32CD32,none,1
Madeleine Udell,M. Udell,#32CD32,Cornell University,1
Benjamin Recht,B. Recht,#32CD32,University of California - Berkeley,1
Kartik Gopalan,K. Gopalan,#00bfff,Binghamton University,1
An-I Wang,A. Wang,#00bfff,Florida State University,1
Stephen Brookes,S. Brookes,#00bfff,Carnegie Mellon University,0
Yingjiu Li,Y. Li,#00bfff,Singapore Management University,1
Shengli Liu,S. Liu,#ffff00,Shanghai Jiao Tong University,1
Akiko Aizawa,A. Aizawa,#32CD32,University of Tokyo,0
Danny Hughes,D. Hughes,#00bfff,none,0
Joxan Jaffar,J. Jaffar,#ffff00,National University of Singapore,0
Daniel de Oliveira,D. de Oliveira,#00bfff,none,1
Vanessa Braganholo,V. Braganholo,#00bfff,UFF,1
Alexandre Lima,A. Lima,#00bfff,none,1
Marta Mattoso,M. Mattoso,#00bfff,UFRJ,1
Nicholas Harvey,N. Harvey,#ffff00,none,1
Maria-Florina Balcan,M. Balcan,#ffff00,Carnegie Mellon University,1
Erik Demaine,E. Demaine,#ffff00,none,1
Satoru Iwata,S. Iwata,#ffff00,none,1
Chenhao Tan,C. Tan,#32CD32,University of Colorado Boulder,1
Lillian Lee,L. Lee,#32CD32,Cornell University,1
Claire Cardie,C. Cardie,#32CD32,Cornell University,1
Ping Li,P. Li,#32CD32,none,1
Yangfeng Ji,Y. Ji,#32CD32,University of Virginia,1
Jidong Xiao,J. Xiao,#00bfff,Boise State University,0
Michael Forbes,M. Forbes,#ffff00,none,1
Amir Shpilka,A. Shpilka,#ffff00,Tel Aviv University,1
Ramprasad Saptharishi,R. Saptharishi,#ffff00,Tata Institute of Fundamental Research,1
Manfred Tscheligi,M. Tscheligi,#ffc0cb,University of Salzburg,1
Alexander Meschtscherjakov,A. Meschtscherjakov,#ffc0cb,University of Salzburg,1
Wheeler Ruml,W. Ruml,#32CD32,University of New Hampshire,1
Ariel Felner,A. Felner,#32CD32,Ben-Gurion University of the Negev,1
Roni Stern,R. Stern,#32CD32,Ben-Gurion University of the Negev,1
David Flatla,D. Flatla,#ffc0cb,none,1
Ian Stavness,I. Stavness,#ffc0cb,University of Saskatchewan,1
Katharina Reinecke,K. Reinecke,#ffc0cb,University of Washington,1
Scott Bateman,S. Bateman,#ffc0cb,University of New Brunswick,1
Lennart Nacke,L. Nacke,#ffc0cb,University of Waterloo,1
Owen Arden,O. Arden,#00bfff,University of California - Santa Cruz,1
Andrew Myers,A. Myers,#00bfff,none,1
Alvin Cheung,A. Cheung,#00bfff,University of Washington,1
Aslan Askarov,A. Askarov,#00bfff,Aarhus University,1
Stephen Chong,S. Chong,#00bfff,Harvard University,1
João Barreto,J. Barreto,#d3d3d3,none,0
Seungjin Choi,S. Choi,#32CD32,POSTECH,1
Yoonsuck Choe,Y. Choe,#32CD32,Texas A&M University,1
Chang Xu,C. Xu,#00bfff,none,1
Jian Lu,J. Lu,#00bfff,none,1
Xiaoxing Ma,X. Ma,#00bfff,Nanjing University,1
Shing-Chi Cheung,S. Cheung,#00bfff,HKUST,1
Feng Qin,F. Qin,#00bfff,Ohio State University,1
Wensheng Dou,W. Dou,#00bfff,Chinese Academy of Sciences,1
Jonathan Cohen,J. Cohen,#32CD32,none,1
Avinatan Hassidim,A. Hassidim,#32CD32,Bar-Ilan University,1
Piotr Indyk,P. Indyk,#ffff00,Massachusetts Institute of Technology,1
Aleksandar Nikolov,A. Nikolov,#ffff00,University of Toronto,1
Huy Nguyen,H. Nguyen,#ffff00,none,1
Gregory Valiant,G. Valiant,#ffff00,Stanford University,1
Grigory Yaroslavtsev,G. Yaroslavtsev,#ffff00,Indiana University,1
Ning Xie,N. Xie,#ffff00,none,1
Ronitt Rubinfeld,R. Rubinfeld,#ffff00,Massachusetts Institute of Technology,1
Haitham Hassanieh,H. Hassanieh,#00bfff,Univ. of Illinois at Urbana-Champaign,1
Moses Charikar,M. Charikar,#ffff00,Stanford University,1
Gerd Hirzinger,G. Hirzinger,#ffc0cb,TU Munich,1
Alin Albu-Schäffer,A. Albu-Schäffer,#ffc0cb,TU Munich,1
Sami Haddadin,S. Haddadin,#ffc0cb,TU Munich,1
Darius Burschka,D. Burschka,#ffc0cb,TU Munich,1
Bernhard Rumpe,B. Rumpe,#00bfff,RWTH Aachen,1
Patrick van der Smagt,P. van der Smagt,#ffc0cb,TU Munich,1
Gregory Hager,G. Hager,#ffc0cb,none,1
Haifeng Liu,H. Liu,#32CD32,Zhejiang University,1
Kun Zhou,K. Zhou,#ffc0cb,Zhejiang University,1
Hujun Bao,H. Bao,#ffc0cb,Zhejiang University,1
Jun 0012,J. 0012,#32CD32,none,1
Yunjun Gao,Y. Gao,#00bfff,Zhejiang University,1
Yasutaka Furukawa,Y. Furukawa,#32CD32,Simon Fraser University,1
Jean Ponce,J. Ponce,#32CD32,Ecole Normale Superieure,1
Brian Curless,B. Curless,#32CD32,University of Washington,1
Steven Seitz,S. Seitz,#32CD32,none,1
Anarosa Brandão,A. Brandão,#32CD32,USP,0
Christopher Stewart,C. Stewart,#00bfff,Ohio State University,1
Kai Shen,K. Shen,#00bfff,University of Rochester,1
Sandhya Dwarkadas,S. Dwarkadas,#00bfff,University of Rochester,1
Marsha Berger,M. Berger,#d3d3d3,none,1
Scott Baden,S. Baden,#00bfff,none,1
Nader Bshouty,N. Bshouty,#32CD32,none,0
Robert Watson,R. Watson,#00bfff,none,1
Steven Murdoch,S. Murdoch,#00bfff,none,1
Simon Moore,S. Moore,#00bfff,none,1
Peter Sewell,P. Sewell,#00bfff,University of Cambridge,1
William Harris,W. Harris,#00bfff,none,1
Jon Crowcroft,J. Crowcroft,#00bfff,University of Cambridge,1
Andrew Moore,A. Moore,#00bfff,none,0
Wentong Cai,W. Cai,#d3d3d3,Nanyang Technological University,1
Xueyan Tang,X. Tang,#00bfff,Nanyang Technological University,1
Huijia Lin,H. Lin,#ffff00,University of California - Santa Barbara,1
Rafael Pass,R. Pass,#ffff00,Cornell University,1
Nir Bitansky,N. Bitansky,#ffff00,Tel Aviv University,1
Muthuramakrishnan Venkitasubramaniam,M. Venkitasubramaniam,#ffff00,University of Rochester,1
David Brumley,D. Brumley,#00bfff,Carnegie Mellon University,1
Diego Garbervetsky,D. Garbervetsky,#00bfff,University of Buenos Aires,1
Víctor Braberman,V. Braberman,#00bfff,none,1
Sebastián Uchitel,S. Uchitel,#00bfff,University of Buenos Aires,1
Alessandro Barenghi,A. Barenghi,#00bfff,Politecnico di Milano,1
Gerardo Pelosi,G. Pelosi,#00bfff,Politecnico di Milano,1
Giovanni Agosta,G. Agosta,#00bfff,Politecnico di Milano,1
Stefan Marr,S. Marr,#00bfff,University of Kent,1
Walter Binder,W. Binder,#32CD32,Università della Svizzera italiana,1
P. Madhusudan,P. Madhusudan,#ffff00,Univ. of Illinois at Urbana-Champaign,1
Salvatore La Torre,S. La Torre,#ffff00,University of Salerno,1
V. Venkatakrishnan,V. Venkatakrishnan,#00bfff,none,1
Carl Gunter,C. Gunter,#00bfff,none,1
Swarat Chaudhuri,S. Chaudhuri,#00bfff,Rice University,1
Dan Roth,D. Roth,#32CD32,University of Pennsylvania,1
Mahesh Viswanathan,M. Viswanathan,#ffff00,none,1
Jie Gao,J. Gao,#00bfff,Stony Brook University,1
Iulian Neamtiu,I. Neamtiu,#00bfff,NJIT,1
Neil Spring,N. Spring,#00bfff,University of Maryland - College Park,1
Michalis Faloutsos,M. Faloutsos,#00bfff,University of California - Riverside,1
Justine Sherry,J. Sherry,#00bfff,Carnegie Mellon University,1
Bernard Wong,B. Wong,#00bfff,University of Waterloo,1
Tim Brecht,T. Brecht,#00bfff,University of Waterloo,1
Sanjiva Prasad,S. Prasad,#00bfff,IIT Delhi,1
Martin Karsten,M. Karsten,#00bfff,University of Waterloo,1
Aaditeshwar Seth,A. Seth,#00bfff,IIT Delhi,1
Matei Zaharia,M. Zaharia,#00bfff,Stanford University,1
Zhipeng Cai,Z. Cai,#ffc0cb,Georgia State University,1
Randy Goebel,R. Goebel,#32CD32,University of Alberta,1
Guohui Lin,G. Lin,#ffc0cb,University of Alberta,1
David Toman,D. Toman,#32CD32,University of Waterloo,1
Nigel Goddard,N. Goddard,#32CD32,none,1
