name,abbrv,color,affiliation,coauthored
Michael Ernst,M. Ernst,#00bfff,none,1
Robert Biddle,R. Biddle,#00bfff,Carleton University,1
Dimitris Achlioptas,D. Achlioptas,#ffff00,University of California - Santa Cruz,1
Carlos Maltzahn,C. Maltzahn,#00bfff,University of California - Santa Cruz,1
Scott Brandt,S. Brandt,#00bfff,University of California - Santa Cruz,1
Rüdiger Urbanke,R. Urbanke,#ffff00,none,1
Seyed Hassani,S. Hassani,#32CD32,none,1
Avinoam Kolodny,A. Kolodny,#d3d3d3,Technion,1
Idit Keidar,I. Keidar,#00bfff,Technion,1
Uri Weiser,U. Weiser,#00bfff,Technion,1
Israel Cidon,I. Cidon,#00bfff,Technion,1
Stephen Intille,S. Intille,#ffc0cb,none,1
Matthew Goodwin,M. Goodwin,#ffc0cb,none,1
Doug James,D. James,#ffc0cb,none,1
Nils Thürey,N. Thürey,#ffc0cb,TU Munich,1
Steve Marschner,S. Marschner,#ffc0cb,Cornell University,1
Dinesh Pai,D. Pai,#ffc0cb,none,1
Markus Gross,M. Gross,#ffc0cb,none,1
Shinjiro Sueda,S. Sueda,#ffc0cb,Texas A&M University,1
Theodore Kim,T. Kim,#ffc0cb,University of California - Santa Barbara,1
Hanspeter Pfister,H. Pfister,#ffc0cb,Harvard University,1
Bernd Bickel,B. Bickel,#ffc0cb,IST Austria,1
Changxi Zheng,C. Zheng,#ffc0cb,Columbia University,1
Cem Yuksel,C. Yuksel,#ffc0cb,University of Utah,1
Jernej Barbic,J. Barbic,#ffc0cb,University of Southern California,1
Aman Parnami,A. Parnami,#ffc0cb,IIIT Delhi,1
Gregory Abowd,G. Abowd,#ffc0cb,none,1
Irfan Essa,I. Essa,#32CD32,none,1
Geoffrey Bowker,G. Bowker,#d3d3d3,none,0
Laurent Doyen,L. Doyen,#ffff00,none,1
Krishnendu Chatterjee,K. Chatterjee,#ffff00,IST Austria,1
Thomas Henzinger,T. Henzinger,#ffff00,none,1
Jean-François Raskin,J. Raskin,#ffff00,Université libre de Bruxelles,1
Tatjana Petrov,T. Petrov,#00bfff,University of Konstanz,1
Wei-Kuan Shih,W. Shih,#00bfff,National Tsing Hua University,0
Fengguang Song,F. Song,#00bfff,IUPUI,1
Jack Dongarra,J. Dongarra,#00bfff,University of Tennessee,1
Hongbo Li,H. Li,#00bfff,Tsinghua University,1
Zizhong Chen,Z. Chen,#00bfff,University of California - Riverside,1
Kevin Knight,K. Knight,#32CD32,University of Southern California,1
Heng Ji,H. Ji,#32CD32,Rensselaer Polytechnic Institute,1
Jiawei Han,J. Han,#32CD32,none,1
Tom Mitchell,T. Mitchell,#32CD32,none,1
Yizhou Sun,Y. Sun,#32CD32,University of California - Los Angeles,1
David Chiang,D. Chiang,#32CD32,none,1
Heiko Vogler,H. Vogler,#32CD32,TU Dresden,1
Dan Klein,D. Klein,#32CD32,University of California - Berkeley,1
Regina Barzilay,R. Barzilay,#32CD32,Massachusetts Institute of Technology,1
Daniel Gildea,D. Gildea,#32CD32,University of Rochester,1
Liang Huang,L. Huang,#32CD32,none,1
Deniz Yuret,D. Yuret,#32CD32,Koç University,1
Shih-Fu Chang,S. Chang,#32CD32,Columbia University,1
Sujian Li,S. Li,#32CD32,Peking University,1
Hal Daumé,H. Daumé,#32CD32,none,1
Daehyun Kim,D. Kim,#00bfff,Washington State University,1
Eftychios Sifakis,E. Sifakis,#ffc0cb,University of Wisconsin - Madison,1
Partha Pande,P. Pande,#00bfff,none,1
Janardhan Doppa,J. Doppa,#32CD32,none,1
Norman Hutchinson,N. Hutchinson,#00bfff,none,1
Aiman Erbad,A. Erbad,#32CD32,Qatar University,1
Michael Feeley,M. Feeley,#00bfff,none,1
Erik Frøkjær,E. Frøkjær,#ffc0cb,University of Copenhagen,1
Kasper Hornbæk,K. Hornbæk,#ffc0cb,University of Copenhagen,1
Rong Ge,R. Ge,#32CD32,none,1
Boaz Barak,B. Barak,#ffff00,Harvard University,1
Sanjeev Arora,S. Arora,#ffff00,Princeton University,1
Ankur Moitra,A. Moitra,#ffff00,Massachusetts Institute of Technology,1
David Sontag,D. Sontag,#32CD32,Massachusetts Institute of Technology,1
David Mimno,D. Mimno,#32CD32,Cornell University,1
Aaron Sidford,A. Sidford,#ffff00,Stanford University,1
Grant Schoenebeck,G. Schoenebeck,#ffff00,University of Michigan,1
Sushant Sachdeva,S. Sachdeva,#ffff00,University of Toronto,1
Michael Jordan,M. Jordan,#32CD32,none,1
Yingyu Liang,Y. Liang,#32CD32,University of Wisconsin - Madison,1
Aditya Bhaskara,A. Bhaskara,#ffff00,University of Utah,1
Rong Ge,R. Ge,#00bfff,none,1
Laxmi Bhuyan,L. Bhuyan,#00bfff,none,1
Kirk Cameron,K. Cameron,#00bfff,none,1
Ian Davidson,I. Davidson,#32CD32,University of California - Davis,1
Martin Ester,M. Ester,#32CD32,Simon Fraser University,1
Siddharth Barman,S. Barman,#ffff00,IISc Bangalore,1
Shuchi Chawla,S. Chawla,#ffff00,none,1
Adam Wierman,A. Wierman,#00bfff,California Institute of Technology,1
Umang Bhaskar,U. Bhaskar,#ffff00,Tata Institute of Fundamental Research,1
