name,abbrv,color,coauthored
Thomas Nowotny,T. Nowotny,#32CD32,0
Chris Thornton,C. Thornton,#32CD32,0
Judith Good,J. Good,#ffc0cb,0
Bernhard Reus,B. Reus,#00bfff,0
Sriram Subramanian,S. Subramanian,#ffc0cb,1
Marianna Obrist,M. Obrist,#ffc0cb,1
Novi Quadrianto,N. Quadrianto,#32CD32,0
David Weir,D. Weir,#32CD32,1
Julie Weeds,J. Weeds,#32CD32,1
John Carroll,J. Carroll,#32CD32,1
Martin White,M. White,#d3d3d3,0
Peter Schrammel,P. Schrammel,#00bfff,0
