name,abbrv,color,coauthored
Nick Gravin,N. Gravin,#ffff00,1
Pinyan Lu,P. Lu,#ffff00,1
Yuan Lin,Y. Lin,#32CD32,0
Tsz Kwok,T. Kwok,#ffff00,0
Zihe Wang,Z. Wang,#32CD32,0
Bundit Laekhanukit,B. Laekhanukit,#ffff00,0
